Wait Time / h,Jobs Run,Raw Used
0,14898,887887.401
1,2075,134109.278
2,1026,60871.696
3,939,44398.397
4,787,34483.319
5,608,33928.947
6,459,20946.513
7,362,23838.159
8,333,22053.195
9,375,13623.206
10,307,14047.764
11,317,16373.448
12,288,18828.52
13,281,17773.136
14,128,4331.974
15,161,14227.483
16,193,9879.312
17,181,17574.014
18,143,11157.354
19,143,8286.559
20,130,6986.615
21,138,10817.852
22,107,4703.845
23,118,6172.113
24,165,12621.329
25,80,4581.259
26,100,5887.82
27,49,3637.514
28,71,4388.952
29,58,5762.118
30,68,4736.153
31,53,4119.092
32,66,2496.449
33,27,1033.304
34,25,2513.641
35,35,1075.075
36,50,1652.653
37,47,1567.655
38,21,542
39,33,467.743
40,58,3724.915
41,63,4196.163
42,27,735.688
43,11,284.18
44,25,443.782
45,57,4469.604
46,35,2775.422
47,73,3321.31
48,68,3405.894
49,48,644.938
50,21,745.512
51,18,364.569
52,22,780.707
53,14,638.922
54,5,1035.039
55,21,356.532
56,42,374.323
57,22,271.231
58,16,483.464
59,10,510.348
60,24,421.72
61,19,987.692
62,3,102.019
63,13,1709.791
64,9,565.061
65,10,764.992
66,1,48.002
67,2,86.111
68,10,492.365
69,2,83.736
70,1,15.159
71,6,189.884
72,6,2025.847
73,2,3901.938
74,1,288.017
75,3,3899.934
78,6,419.56
79,1,53.932
80,2,36.635
81,3,226.64
82,2,124.336
83,21,9902.218
84,6,1699.579
85,3,655.835
86,3,105.616
87,3,942.479
88,2,2273.57
89,1,739.929
90,10,1886.281
91,5,6200.853
92,3,863.732
93,4,3875.171
94,4,929.383
95,3,96.817
96,1,89.018
97,1,64.526
98,3,192.956
99,2,621.696
100,2,130.612
101,2,134.524
102,2,132.24
103,2,76.567
104,1,49.259
105,5,392.266
106,1,752.464
107,4,311.854
108,3,112.274
109,1,31.295
110,2,144.27
111,1,960.3
113,2,76.341
114,2,186.231
115,2,3808.071
116,2,104.19
117,2,79.969
118,5,210.064
119,10,1243.851
120,3,1238.032
121,1,192.02
122,2,1522.939
124,2,122.782
125,2,165.628
126,2,895.79
129,1,49.013
130,1,23.763
131,2,119.706
132,1,95.96
134,1,3793.364
135,4,244.968
137,2,1311.658
140,2,5920.242
141,9,3651.953
144,3,452.022
145,1,440.993
146,7,2455.21
147,1,910.411
148,6,4967.091
149,1,72.016
153,1,59.267
154,1,23.764
155,2,168.106
157,8,502.37
158,1,120.024
159,1,48.004
160,1,49.189
161,3,2199.653
164,2,4324.2
167,1,144.336
168,6,6365.826
172,3,166.164
173,2,142.544
174,4,199.414
176,1,143.842
177,2,1032.219
178,1,6.624
181,2,1526.35
183,1,84.816
186,2,38.64
191,5,278.43
193,1,234.017
194,1,194.307
196,1,35.291
197,1,55.547
198,1,1200.153
199,1,148.108
200,1,38.264
202,8,1536.142
203,1,43.161
204,3,213.291
206,1,37.368
207,1,3.448
208,1,61.468
210,2,120.266
212,7,1188.291
213,3,623.506
219,2,82.561
220,1,274.329
223,2,104.497
225,5,1243.456
226,3,82.668
228,2,145.147
230,2,131.396
231,1,720.158
232,1,47.552
233,1,79.29
234,1,24.006
235,1,742.517
237,1,62.836
238,1,55.238
239,3,1400.483
241,1,41.281
242,1,237.261
246,1,74.154
247,1,61.312
252,2,98.81
254,1,39.066
257,1,63.481
259,1,240.061
260,1,240.047
261,1,384.058
262,3,140.453
263,1,65.658
264,4,1030.196
269,1,64.199
270,4,3888.535
271,6,387.28
272,4,3695.433
273,3,1616.144
274,3,850.604
275,2,966.47
276,1,19.098
277,1,96.004
278,4,1723.82
279,9,4113.488
280,6,818.276
281,5,1089.024
282,1,96.011
283,1,51.096
284,1,1536.373
286,1,733.297
287,1,555.097
288,1,968.889
290,1,2256.639
293,2,1919.644
295,1,897.889
296,1,2272.083
299,1,96.02
301,6,7201.217
302,2,2400.633
303,2,1296.093
305,1,120.032
308,1,4679.738
310,1,192.084
311,1,216.025
312,1,6529.435
313,2,409.4
320,1,45.873
326,2,1330.311
327,1,5775.378
330,1,4688.147
351,1,335.822
352,1,387.822
353,1,504.444
354,2,720.089
356,1,26.249
370,2,3144.374
371,6,1227.747
379,1,24.006
385,3,288.024
386,1,7567.84
388,3,440.022
389,4,694.757
390,4,820.712
394,2,1944.119
395,1,1536.142
400,3,816.092
401,10,3840.604
404,1,384.004
405,2,768.173
406,1,384.098
410,2,384.022
466,1,7605.92
467,1,7358.68
