Wait Time / h,Jobs Run,Raw Used
0,7348,515264.523
1,1251,119385.496
2,889,63536.863
3,637,24253.454
4,757,39950.39
5,380,22118.67
6,459,24989.752
7,344,12414.14
8,172,8195.061
9,154,6906.241
10,220,9241.774
11,208,13699.328
12,243,8433.585
13,301,10569.982
14,517,16284.18
15,282,13542.836
16,296,23404.004
17,212,12233.527
18,218,17794.689
19,296,17354.617
20,275,21611.177
21,270,14450.029
22,205,9261.053
23,141,6384.543
24,210,8689.91
25,116,2449.759
26,74,7229.929
27,63,1920.487
28,64,2529.476
29,48,1345.117
30,41,2237.425
31,32,2592.931
32,89,5344.207
33,48,5044.623
34,27,3083.175
35,53,5956.731
36,117,6666.259
37,57,4157.974
38,71,8306.846
39,57,7119.903
40,59,5228.651
41,40,2945.861
42,56,3968.989
43,48,4824.093
44,10,1498.753
45,15,1155.138
46,35,6471.932
47,1,5.609
48,14,559.027
49,19,1008.899
50,8,246.271
52,2,288.297
53,14,626.921
54,7,311.799
55,5,816.067
56,2,192.009
57,6,602.801
58,3,251.654
59,1,96.006
60,21,1005.535
61,22,1823.562
62,20,786.138
63,18,636.692
65,25,1543.547
66,5,384.1
68,1,48.006
71,4,186.539
72,2,330.361
73,16,504.002
75,2,93.839
76,17,1579.478
77,10,588.966
78,21,1825.91
79,5,337.852
80,3,240.046
81,4,100.59
82,6,100.811
83,5,89.931
84,18,779.849
85,17,912.584
86,6,274.792
87,6,121.323
88,2,102.72
89,3,1565.443
90,2,103.862
92,1,59.698
96,2,292.849
97,1,26.279
100,3,207.668
102,1,23.764
105,2,47.528
107,1,1079.505
113,1,23.765
126,1,23.764
128,2,47.527
132,2,1103.537
137,1,23.764
148,1,1532.743
149,1,23.764
152,2,47.527
159,2,109.69
173,1,23.764
176,2,47.528
186,1,219.644
190,2,47.528
191,1,23.764
202,2,480.738
210,1,1104.389
214,2,47.529
215,1,23.764
225,1,97.942
227,1,154.36
233,3,54.373
235,1,728.782
237,1,23.764
239,1,23.764
240,1,192.047
242,7,1000.247
243,1,16.68
244,2,829.08
245,2,796.949
246,1,120.081
253,2,48.011
259,2,400.093
260,2,1248.406
261,1,23.764
262,2,1118.778
269,1,237.281
274,1,8.504
277,2,160.071
278,1,960.067
279,1,192.009
280,3,1728.503
281,3,1244.38
282,1,384.018
284,6,7201.672
285,1,23.764
286,1,8.517
287,2,4320.761
292,1,636.195
298,2,614.769
302,1,1519.132
304,2,502.232
307,1,20.084
309,2,1531.556
310,2,2482.656
312,1,24.007
324,1,333.103
325,3,1676.149
336,1,23.764
352,1,1094.68
354,1,9671.253
375,3,555.54
395,2,508.353
435,1,96.022
440,2,496.629
454,1,32.116
463,1,19.054
464,2,38.04
481,1,503.867
504,1,11.329
505,1,11.574
524,2,384.047
542,4,768.169
567,3,648.165
573,1,7776.9
596,2,233.05
597,1,216.03
598,2,432.097
603,5,1080.18
620,1,64.071
621,2,10.305
622,1,138.596
624,1,4.944
626,3,15.506
641,1,47.564
643,2,1536.32
663,7,1341.235
665,3,5377.227
666,2,384.047
679,1,960.222
688,1,1054.167
762,1,206.047
767,1,48.009
768,1,1152.253
772,1,644.16
782,9,432.095
790,2,3722.583
796,1,148.838
805,1,1420.2
818,1,2976.207
820,1,6720.422
821,2,1536.249
826,1,1573.08
827,2,1987.584
829,5,5144.767
830,1,1379.76
832,1,1533.48
836,2,6979.085
837,3,3493.45
